brand,name,price,rating,product_type,quantity_sold,recommendation
rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,3.1,blush,7,no
marienatie,Mineral Blush,0.0,1.3,blush,4,no
lotus cosmetics usa,Creme to Powder Blush,0.0,1.9,blush,8,no
glossier,Cloud Paint,22.0,3.2,blush,5,no
nyx,Sweet Cheeks Blush Palette,20.0,2.7,blush,7,no
nyx,Cheek Contour Duo Palette,9.0,2.3,blush,10,no
nyx,High Definition Blush Pro Refills,6.0,3.9,blush,3,no
nyx,Rouge Cream Blush,6.0,3.8,blush,7,no
nyx,Baked Blush,7.0,1.7,blush,8,no
nyx,High Definition Blush,6.5,4.5,blush,5,no
nyx,Ombre Blush,10.0,3.0,blush,4,no
nyx,Stick Blush,6.0,4.0,blush,8,yes
nyx,Whipped Lip & Cheek Soufflé,6.0,3.3,blush,8,no
clinique,Sculptionary&trade; Cheek Contouring Palette,34.0,5.0,blush,3,no
clinique,Blushing Blush&trade; Powder Blush,23.0,4.0,blush,6,yes
clinique,Cheek Pop&trade;,23.0,3.8,blush,5,no
clinique,Clinique + Jonathan Adler: Cheek Pop,18.9,4.1,blush,2,no
clinique,Soft-Pressed Powder Blusher,23.0,1.6,blush,8,no
clinique,Chubby Stick&trade; Cheek Colour Balm,23.0,1.8,blush,6,no
clinique,Clinique Pop&trade; Oil Lip & Cheek Glow,,3.9,blush,2,no
clinique,CliniqueFIT™  Lip + Cheek Flush,23.0,3.0,blush,5,no
dior,Diorskin Rosy Glow,32.0,4.0,blush,1,no
dior,DIORBLUSH PRECIOUS ROCKS - Christmas 2017 Limited Edition,0.0,1.4,blush,10,no
dior,Diorblush Sculpt,32.5,3.1,blush,6,no
dior,Diorblush,32.5,2.5,blush,9,no
dior,Cheek & Lip Glow,27.5,2.8,blush,1,no
iman,Luxury Blushing Powder Posh,,3.4,blush,10,no
smashbox,O-Glow ,29.0,3.0,blush,3,no
smashbox,L.A. Lights Palette,35.0,3.2,blush,7,no
smashbox,L.A. Lights Cheek & Lip Color,29.0,2.9,blush,4,no
,Fake Bake Blush Legal Sunburn,15.99,5.0,blush,9,yes
nyx,NYX Ombre Blush,12.99,2.6,blush,3,no
covergirl,CoverGirl truBLEND Blush in Light Rose,13.99,4.1,blush,5,no
cargo cosmetics,Cargo Cosmetics HD Picture Perfect Blush Highlighter,32.0,1.0,blush,3,no
,Saint Cosmetics Blush,28.96,3.4,blush,7,no
maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush,14.99,3.3,blush,5,no
sante,Sante Rouge,23.49,3.0,blush,9,no
covergirl,CoverGirl truBLEND Blush in Medium Rose,13.99,5.0,blush,7,yes
annabelle,Annabelle Blush ,7.99,3.9,blush,2,no
nyx,NYX High Definition Blush,7.99,4.0,blush,4,no
cargo cosmetics,Cargo Cosmetics Swimmables Water Resistant Blush,29.0,5.0,blush,9,yes
mineral fusion,Mineral Fusion Blush,32.0,5.0,blush,2,no
covergirl,CoverGirl Clean Glow Blush ,8.99,5.0,blush,10,yes
covergirl,CoverGirl Clean Glow Blush,8.99,3.4,blush,9,no
physicians formula,Physicians Formula Nude Wear Glowing Nude Blush,15.99,4.0,blush,10,yes
covergirl,CoverGirl Cheekers Blush ,6.99,5.0,blush,5,no
e.l.f.,e.l.f. Studio Blush Palette Dark,9.99,4.3,blush,2,no
revlon,Revlon Powder Blush ,13.49,5.0,blush,4,no
maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush ,14.99,5.0,blush,7,yes
physicians formula,Physicians Formula Nude Wear Glowing Nude Blush ,15.99,4.0,blush,8,yes
covergirl,CoverGirl Cheekers Blush,6.99,5.0,blush,3,no
almay,Almay Smart Shade Powder Blush,14.49,4.0,blush,1,no
l'oreal,L'Oreal Paris True Match,16.49,4.8,blush,4,no
physicians formula,Physicians Formula Happy Booster Glow & Mood Boosting Blush,15.99,4.7,blush,2,no
pure anada,Pure Anada Loose Mineral Luminous Blush,12.0,4.0,blush,8,yes
physicians formula,Physicians Formula Mineral Wear Airbrushing Blush,15.49,4.8,blush,4,no
covergirl,CoverGirl Instant Cheekbones Contouring Blush,7.99,3.3,blush,2,no
physicians formula,Physicians Formula Happy Booster Glow & Mood Boosting Powder,19.99,4.8,blush,6,yes
e.l.f.,e.l.f. Studio Blush Palette Light,9.99,4.7,blush,6,yes
pure anada,Pure Anada Loose Mineral Velvet Matte Blush ,12.0,4.5,blush,10,yes
maybelline,Maybelline Fit Me Blush,10.29,4.8,blush,4,no
pure anada,Pure Anada Pressed Mineral Cheek Colour Pan,12.0,4.4,blush,6,yes
milani,Milani Rose Powder Blush,9.99,4.6,blush,2,no
milani,Milani Baked Blush,7.99,4.7,blush,10,yes
cargo cosmetics,Cargo Cosmetics Blush,26.0,4.8,blush,2,no
physicians formula,Physicians Formula Argan Wear Ultra-Nourishing Argan Oil Blush in Rose,15.99,5.0,blush,10,yes
stila,Stila Convertible Colour Palette Sinrise Splendor,51.0,4.8,blush,4,no
stila,Stila Convertible Colour Palette Sunset Serenade,51.0,2.4,blush,8,no
anna sui,Anna Sui Cream Cheek Colour,27.0,1.9,blush,7,no
nyx,NYX Rouge Cream Blush,9.99,2.0,blush,9,no
l'oreal,L'Oreal Paris Visible Lift Blur Blush ,15.99,2.7,blush,8,no
marcelle,Marcelle Cream Blush,14.99,5.0,blush,5,no
revlon,Revlon PhotoReady Cream Blush,13.49,5.0,blush,2,no
,DaLish Lip Cheek Balm,15.0,2.3,blush,5,no
physicians formula,Physicians Formula Super BB All-in-1 Beauty Balm Cheek & Lip in Berry Pink,8.99,4.0,blush,8,yes
maybelline,Maybelline Dream Bouncy Blush,11.99,4.5,blush,10,yes
physicians formula,Physicians Formula Mineral Wear Flawless Complexion Kit ,29.99,4.8,blush,9,yes
pacifica,Pacifica Radiant Shimmer Highlighting Creams For Eyes Lips Face,28.0,3.6,blush,9,no
rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,2.2,blush,1,no
marienatie,Mineral Blush,0.0,3.5,blush,9,no
lotus cosmetics usa,Creme to Powder Blush,0.0,4.6,blush,7,yes
glossier,Cloud Paint,22.0,1.6,blush,9,no
nyx,Sweet Cheeks Blush Palette,20.0,1.4,blush,8,no
nyx,Cheek Contour Duo Palette,9.0,2.0,blush,1,no
nyx,High Definition Blush Pro Refills,6.0,3.9,blush,8,no
nyx,Rouge Cream Blush,6.0,3.4,blush,8,no
nyx,Baked Blush,7.0,1.4,blush,3,no
nyx,High Definition Blush,6.5,4.7,blush,1,no
nyx,Ombre Blush,10.0,4.2,blush,8,yes
nyx,Stick Blush,6.0,1.1,blush,3,no
nyx,Whipped Lip & Cheek Soufflé,6.0,3.6,blush,3,no
clinique,Sculptionary&trade; Cheek Contouring Palette,34.0,4.1,blush,1,no
clinique,Blushing Blush&trade; Powder Blush,23.0,2.5,blush,5,no
clinique,Cheek Pop&trade;,23.0,1.3,blush,10,no
clinique,Clinique + Jonathan Adler: Cheek Pop,18.9,1.3,blush,7,no
clinique,Soft-Pressed Powder Blusher,23.0,1.4,blush,10,no
clinique,Chubby Stick&trade; Cheek Colour Balm,23.0,4.4,blush,9,yes
clinique,Clinique Pop&trade; Oil Lip & Cheek Glow,,4.6,blush,7,yes
clinique,CliniqueFIT™  Lip + Cheek Flush,23.0,1.5,blush,9,no
dior,Diorskin Rosy Glow,32.0,1.9,blush,8,no
dior,DIORBLUSH PRECIOUS ROCKS - Christmas 2017 Limited Edition,0.0,1.7,blush,2,no
dior,Diorblush Sculpt,32.5,1.7,blush,1,no
dior,Diorblush,32.5,4.3,blush,7,yes
dior,Cheek & Lip Glow,27.5,2.3,blush,7,no
iman,Luxury Blushing Powder Posh,,2.2,blush,8,no
smashbox,O-Glow ,29.0,1.9,blush,5,no
smashbox,L.A. Lights Palette,35.0,3.4,blush,3,no
smashbox,L.A. Lights Cheek & Lip Color,29.0,2.5,blush,8,no
,Fake Bake Blush Legal Sunburn,15.99,5.0,blush,6,yes
nyx,NYX Ombre Blush,12.99,4.0,blush,3,no
covergirl,CoverGirl truBLEND Blush in Light Rose,13.99,1.8,blush,1,no
cargo cosmetics,Cargo Cosmetics HD Picture Perfect Blush Highlighter,32.0,4.2,blush,3,no
,Saint Cosmetics Blush,28.96,3.4,blush,5,no
maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush,14.99,1.5,blush,3,no
sante,Sante Rouge,23.49,3.0,blush,1,no
covergirl,CoverGirl truBLEND Blush in Medium Rose,13.99,5.0,blush,5,no
annabelle,Annabelle Blush ,7.99,2.7,blush,10,no
nyx,NYX High Definition Blush,7.99,4.0,blush,7,yes
cargo cosmetics,Cargo Cosmetics Swimmables Water Resistant Blush,29.0,5.0,blush,7,yes
mineral fusion,Mineral Fusion Blush,32.0,5.0,blush,9,yes
covergirl,CoverGirl Clean Glow Blush ,8.99,5.0,blush,10,yes
covergirl,CoverGirl Clean Glow Blush,8.99,4.5,blush,10,yes
physicians formula,Physicians Formula Nude Wear Glowing Nude Blush,15.99,4.0,blush,3,no
covergirl,CoverGirl Cheekers Blush ,6.99,5.0,blush,7,yes
e.l.f.,e.l.f. Studio Blush Palette Dark,9.99,4.7,blush,1,no
revlon,Revlon Powder Blush ,13.49,5.0,blush,4,no
maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush ,14.99,5.0,blush,4,no
physicians formula,Physicians Formula Nude Wear Glowing Nude Blush ,15.99,4.0,blush,5,no
covergirl,CoverGirl Cheekers Blush,6.99,5.0,blush,7,yes
almay,Almay Smart Shade Powder Blush,14.49,4.0,blush,7,yes
l'oreal,L'Oreal Paris True Match,16.49,4.8,blush,4,no
physicians formula,Physicians Formula Happy Booster Glow & Mood Boosting Blush,15.99,4.7,blush,7,yes
pure anada,Pure Anada Loose Mineral Luminous Blush,12.0,4.0,blush,3,no
physicians formula,Physicians Formula Mineral Wear Airbrushing Blush,15.49,4.8,blush,6,yes
covergirl,CoverGirl Instant Cheekbones Contouring Blush,7.99,3.3,blush,2,no
physicians formula,Physicians Formula Happy Booster Glow & Mood Boosting Powder,19.99,4.8,blush,10,yes
e.l.f.,e.l.f. Studio Blush Palette Light,9.99,4.7,blush,9,yes
pure anada,Pure Anada Loose Mineral Velvet Matte Blush ,12.0,4.5,blush,5,no
maybelline,Maybelline Fit Me Blush,10.29,4.8,blush,6,yes
pure anada,Pure Anada Pressed Mineral Cheek Colour Pan,12.0,4.4,blush,4,no
milani,Milani Rose Powder Blush,9.99,4.6,blush,10,yes
milani,Milani Baked Blush,7.99,4.7,blush,7,yes
cargo cosmetics,Cargo Cosmetics Blush,26.0,4.8,blush,9,yes
physicians formula,Physicians Formula Argan Wear Ultra-Nourishing Argan Oil Blush in Rose,15.99,5.0,blush,7,yes
stila,Stila Convertible Colour Palette Sinrise Splendor,51.0,2.9,blush,1,no
stila,Stila Convertible Colour Palette Sunset Serenade,51.0,2.9,blush,1,no
anna sui,Anna Sui Cream Cheek Colour,27.0,4.7,blush,9,yes
nyx,NYX Rouge Cream Blush,9.99,2.0,blush,9,no
l'oreal,L'Oreal Paris Visible Lift Blur Blush ,15.99,3.3,blush,4,no
marcelle,Marcelle Cream Blush,14.99,5.0,blush,9,yes
revlon,Revlon PhotoReady Cream Blush,13.49,5.0,blush,3,no
,DaLish Lip Cheek Balm,15.0,2.3,blush,7,no
